School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Vista College,11351349,5675675
Queensborough Community College-Cuny,11321080,5660540
Delgado Community College,11310381,5655191
University Of Rhode Island,11238683,5619342
Fresno City College,11224898,5612449
University Of Central Oklahoma,11170390,5585195
Florida Gulf Coast University,11143620,5571810
East Tennessee State University,11096758,5548379
University Of Hawaii At Manoa,11009867,5504934
Montgomery College,10995749,5497875
Boise State University,10937516,5468758
Tarleton State University,10893519,5446760
University Of West Georgia,10881459,5440730
Riverside City College,10831532,5415766
East Los Angeles College,10797043,5398522
Collin County Community College,10790912,5395456
Central Piedmont Community College,10787553,5393777
Baylor University,10777489,5388745
University Of Nebraska At Omaha,10759273,5379637
Salt Lake Community College,10647873,5323937
Western Kentucky University,10636493,5318247
American River College,10613663,5306832
Southeastern Louisiana University,10580284,5290142
University Of North At Carolina Wilmington (The),10566053,5283027
Montana State University Bozeman,10560079,5280040
Eastern Kentucky University,10542767,5271384
Stephen F Austin State University,10525078,5262539
Hinds Community College,10520779,5260390
Suny College At Buffalo,10484417,5242209
Wake Technical Community College,10390849,5195425
Georgia Institute Of Technology,10388077,5194039
Rochester Institute Of Technology,10380480,5190240
Youngstown State University,10376462,5188231
Humboldt State University,10302998,5151499
Antelope Valley College,10245691,5122846
University Of Colorado Denver,10184083,5092042
Kingsborough Commmunity College/Cuny,10156521,5078261
Wright State University,10140846,5070423
Texas A&M University - Corpus Christi,10105662,5052831
Glendale Community College,10056959,5028480
Coastal Carolina University,10054347,5027174
Indiana University Of Pennsylvania,10050461,5025231
Loyola University Chicago,10043948,5021974
Stockton University,10041238,5020619
Cuyahoga Community College,10027370,5013685
Community College Of Rhode Island,10000569,5000285
Pima County Community College,9989049,4994525
Eastern Washington University,9986299,4993150
Texas State Technical College,9965155,4982578
Syracuse University,9920122,4960061
University Of Pennsylvania,9907683,4953842
William Paterson University Of New Jersey,9763356,4881678
Mt. San Jacinto College,9713109,4856555
Fullerton College,9700734,4850367
Austin Peay State University,9687866,4843933
Southern Illinois University Edwardsville,9678393,4839197
Cuny Bronx Community College,9658626,4829313
Macomb Community College,9617297,4808649
University Of Central Arkansas,9604924,4802462
Modesto Junior College,9575504,4787752
Indiana State University,9566914,4783457
Indian River State College,9553094,4776547
University Of Tennessee - Chattanooga,9513779,4756890
Texas A&M International University,9501756,4750878
University Of Houston - Downtown,9456650,4728325
Full Sail University,9445834,4722917
Southern University And Agricultural & Mechanical Colg At Baton Rouge,9396803,4698402
Community College Of Baltimore County,9349870,4674935
Valdosta State University,9331398,4665699
Universal Technical Institute,9330780,4665390
University Of Maryland - Baltimore County,9315657,4657829
Central New Mexico Community College,9305433,4652717
Morgan State University,9263592,4631796
Arkansas State University,9258158,4629079
Southwestern Community College District,9253264,4626632
Florida Southwestern State College,9178997,4589499
Galen Health Institutes,9167121,4583561
Monroe Community College,9166962,4583481
Henry Ford College,9153117,4576559
Ferris State University,9146813,4573407
Alabama Agricultural & Mechanical University,9121201,4560601
Orange Coast College,9120468,4560234
George Washington University,9118529,4559265
Harrisburg Area Community College,9105781,4552891
College Of Du Page,9100886,4550443
Sonoma State University,9093447,4546724
Radford University,9092203,4546102
"Minnesota State University, Mankato",9088962,4544481
Central Connecticut State University,9009014,4504507
Delaware Technical Community College,9008399,4504200
Marshall University,9003939,4501970
San Jacinto Community College District,8950463,4475232
North Carolina Central University,8932233,4466117
Laredo College,8926222,4463111
University Of Massachusetts - Lowell,8900322,4450161
Western Carolina University,8893407,4446704
Inter American University Of Puerto Rico - Bayamon Campus,8889905,4444953
Bryant & Stratton College,8877497,4438749
Southern Illinois University At Carbondale,8866635,4433318
Universal Technical Institute,8848799,4424400
Bridgewater State University,8833662,4416831
Inter American University Of Puerto Rico San Germán Campus,8830671,4415336
Eastern Florida State College,8816361,4408181
Wichita State University,8786465,4393233
Saint Louis Community College,8727263,4363632
Howard University,8723244,4361622
Tennessee Technological University,8713463,4356732
Metropolitan Community College,8709049,4354525
Texas Woman'S University,8683388,4341694
Harvard University,8655748,4327874
College Of The Sequoias,8630859,4315430
California State University Channel Islands,8580009,4290005
Pace University,8562106,4281053
Troy University,8544084,4272042
Northwestern University,8521175,4260588
Milwaukee Area Technical College,8505373,4252687
Hudson County Community College,8467661,4233831
Bergen Community College,8461418,4230709
"California State University, Monterey Bay",8459727,4229864
Jackson State University,8446248,4223124
Southern Connecticut State University,8390168,4195084
New Jersey City University,8337070,4168535
Bunker Hill Community College,8310307,4155154
Glendale Community College,8301836,4150918
Guilford Technical Community College,8260390,4130195
Fortis Institute - Towson,8227327,4113664
Savannah College Of Art And Design,8209651,4104826
University Of Wisconsin - Whitewater,8169773,4084887
Seminole State College Of Florida,8150059,4075030
Fordham University,8147184,4073592
University Of Miami,8139089,4069545
Inter American University Of Puerto Rico - Aguadilla Campus,8125496,4062748
New Jersey Institute Of Technology,8110969,4055485
Victor Valley Community College,8067843,4033922
Chamberlain University,8007329,4003665
Northern Kentucky University,7998963,3999482
Western Illinois University,7997093,3998547
Erie Community College,7995845,3997923
Community College Of Allegheny County,7987479,3993740
Tulsa Community College,7980293,3990147
Emory University,7974341,3987171
Ozarks Technical Community College,7950662,3975331
Sacramento City College,7946038,3973019
University Of Colorado Colorado Springs,7925645,3962823
California Baptist University,7913118,3956559
Bloomsburg University Of Pennsylvania,7906785,3953393
Mississippi Gulf Coast Community College,7880280,3940140
Santa Fe College,7859449,3929725
San Joaquin Delta College,7835430,3917715
St. Cloud State University,7821764,3910882
Tallahassee Community College,7763584,3881792
Essex County College,7752662,3876331
Suny College At Brockport,7750148,3875074
North Dakota State University - Fargo,7728326,3864163
South University,7726176,3863088
Palomar College,7702862,3851431
Central Washington University,7695384,3847692
Los Angeles Pierce College,7694796,3847398
University Of Puerto Rico - Arecibo,7684735,3842368
Daytona State College,7681731,3840866
University Of Montana (The),7652275,3826138
University Of Northern Colorado,7650214,3825107
San Antonio College,7648254,3824127
College Of Charleston,7642022,3821011
Mech Tech College,7627631,3813816
University Of Northern Iowa,7618737,3809369
University Of Maine,7603694,3801847
Sierra College,7595581,3797791
Touro College,7558879,3779440
Inter American University Of Puerto Rico - Metropolitan Campus,7548666,3774333
Pikes Peak Community College,7543778,3771889
Inter American University Of Puerto Rico - Ponce Campus,7526308,3763154
Oakland Community College,7474366,3737183
University Of Minnesota  Duluth,7453951,3726976
Rhode Island College,7443916,3721958
Sinclair Community College,7434204,3717102
Citrus College,7429415,3714708
Kutztown University Of Pennsylvania,7424966,3712483
Tyler Junior College,7395647,3697824
Union County College,7393008,3696504
Middlesex County College,7378634,3689317
Stanford University,7376668,3688334
Slippery Rock University,7354069,3677035
Mesa Community College,7352103,3676052
Des Moines Area Community College,7345999,3673000
Midlands Technical College,7332783,3666392
