School,Total Allocation,Minimum Allocation to be Awarded for Emergency Financial-Aid Grants to Students
Kansas Wesleyan University,823462,411731
North Dakota State College Of Science,823352,411676
Central Baptist College,822986,411493
Northwestern College,822778,411389
Covenant College,822751,411376
Tennessee College Of Applied Technology - Knoxville,822349,411175
Unity College,822158,411079
Tennessee College Of Applied Technology - Dickson,821613,410807
Richard Bland College,820734,410367
Northwest Nazarene University,820668,410334
American Institute Of Alternative Medicine,818622,409311
Purdue University Global,816781,408391
Mount Aloysius College,816503,408252
Benjamin Franklin Institute Of Technology,814858,407429
Sunstate Academy,814778,407389
Emma'S Beauty Academy,814149,407075
Concordia College,813395,406698
Labette Community College,812240,406120
Wabash College,810923,405462
Palmer College Of Chiropractic,809390,404695
Cortiva Institute,809235,404618
College Of Idaho (The),809015,404508
Minneapolis College Of Art & Design,807630,403815
Alexandria Technical And Community College,807310,403655
Villa Maria College Of Buffalo,807056,403528
Henderson Community College,806658,403329
Neosho County Community College,806338,403169
Mercy College Of Health Sciences,805957,402979
Western Nebraska Community College,805697,402849
Washington Adventist University,805558,402779
Nouvelle Institute,805020,402510
Lake Erie College,803405,401703
Nashua Community College,802358,401179
Manhattan School Of Computer Technology,801874,400937
Cleveland Institute Of Art (The),801788,400894
Southwestern Adventist University,801162,400581
Hollins University,799714,399857
Institute Of Technology,799110,399555
Aveda Institute - Tallahassee,798287,399144
Paine College,798094,399047
Oklahoma Wesleyan University,797766,398883
Touro University,797347,398674
Ozarka College,797075,398538
Mcpherson College,795375,397688
Brunswick Community College,795340,397670
South Hills School Of Business & Technology,795265,397633
Bay State College,794883,397442
Goshen College,792911,396456
Fortis Institute,791394,395697
Manor College,790389,395195
University Of Virginia'S College At Wise (The),788966,394483
Rochester University,787257,393629
Santa Barbara Business College,786894,393447
College Of The Siskiyous,785260,392630
Blue Mountain College,784621,392311
Southwest Wisconsin Technical College,783630,391815
University Of South Carolina - Salkehatchie,783241,391621
Southern Arkansas University Tech,782909,391455
Pc Age,782767,391384
Aviation Institute Of Maintenance,782346,391173
Brevard College,782339,391170
Colby-Sawyer College,779605,389803
Hibbing Community College,779596,389798
Cambridge Institute Of Allied Health And Technology,779045,389523
Pennsylvania College Of Health Sciences,778640,389320
Warner Pacific University,778206,389103
Bay De Noc Community College,778116,389058
Warren Wilson College,776538,388269
Paul Mitchell The School Cincinnati,776215,388108
Cuny Graduate School & University Center,776134,388067
Everglades University,776027,388014
Cossatot Community College Of The University Of Arkansas,775262,387631
Carteret Community College,774946,387473
Mid-Plains Community College,774946,387473
Miami Regional University,774452,387226
Paul Mitchell The School-Jacksonville,773577,386789
Belmont College,773450,386725
Dakota State University,771997,385999
Cairn University,771522,385761
Neumont College Of Computer Science,769673,384837
Bennett College,768798,384399
Bluffton University,768698,384349
Clarke University,768683,384342
Westminster College,768643,384322
Industrial Technical College,768357,384179
"Liceo De Arte, Diseños Y Comercio",767805,383903
Wheeling University,766653,383327
Cooper Union For The Advancement Of Science & Art (The),766505,383253
Clinton Community College - Suny Office Of Community Colleges,765962,382981
Whitman College,764766,382383
Cloud County Community College,763297,381649
Thomas College,762266,381133
Millsaps College,761840,380920
J. F.  Drake State Community And Technical College,761763,380882
Eastern Nazarene College,761413,380707
Rocky Mountain College Of Art + Design,761314,380657
Ucas University Of Cosmetology Arts & Sciences,760609,380305
Alpena Community College,759853,379927
University Of Advancing Computer Technology,759682,379841
Palau Community College,759490,379745
Hannibal - Lagrange University,759488,379744
Atlantic Technical College,758163,379082
Union College,757995,378998
Miami Media School,757634,378817
Chicago School Of Professional Psychology,756112,378056
Alice Lloyd College,754640,377320
Denver College Of Nursing,753229,376615
Bradford School,752083,376042
Rabbinical College Bobover Yeshiva Bnei Zion,751000,375500
Paul Mitchell The School Sacramento,750351,375176
Premiere Career College,747470,373735
Arizona Christian University,747009,373505
Independence Community College,746807,373404
Fond Du Lac Tribal & Community College,744831,372416
Menlo College,744390,372195
Central Yeshiva Tomchei Tmimim Lubavitz,743134,371567
Milligan College,742753,371377
Itasca Community College,741976,370988
Paul Mitchell The School Boise,740779,370390
Relay Graduate School Of Education,740441,370221
Illinois Eastern Community Colleges - Olney Central College,737002,368501
Vanguard College Of Cosmetology A Paul Mitchell Partner School-Metaire,736592,368296
Methodist College,736004,368002
Montreat College,735993,367997
Seward County Community College,734560,367280
Northwest College,732668,366334
West Virginia Northern Community College,732317,366159
Stanly Community College,731366,365683
Laurel Technical Institute,727647,363824
Paul Mitchell The School Temecula,725475,362738
Western Wyoming Community College,725242,362621
Rio Grande Valley College,722800,361400
Franciscan Missionaries Of Our Lady University,721431,360716
Wilson Community College,718656,359328
Mid-America Christian University,716752,358376
Ellsworth Community College,715943,357972
North Florida College,715483,357742
Davis Technical College,713275,356638
Arclabs,712771,356386
Kirtland Community College,712739,356370
Tricoci University Of Beauty Culture,711717,355859
Cortiva Institute,709623,354812
University Of Holy Cross,708685,354343
William Jewell College,707592,353796
University Of South Carolina - Sumter,705800,352900
Ameritech College,705243,352622
Specs Howard School Of Media Arts,702843,351422
Cogswell Polytechnical College,701472,350736
Iowa Wesleyan University,699320,349660
Klamath Community College,699314,349657
Hci College,698258,349129
Motoring Technical Training Institute,698220,349110
Aviation Institute Of Maintenance,698192,349096
Maria College,697463,348732
Beaufort County Community College,695419,347710
Genesis Career College,692917,346459
Creative Images Institute Of Cosmetology,692021,346011
Bluefield College,691152,345576
Swedish Institute,691142,345571
Hawaii Medical College,690676,345338
Wilberforce University,689372,344686
New River Community And Technical College,688982,344491
University Of North Texas Health Science Center At Fort Worth,687698,343849
Warren County Community College,686371,343186
Escuela De Artes Plasticas Y Diseño De Puerto Rico,686208,343104
Hair Academy,685979,342990
Helena College University Of Montana,685627,342814
Rush University,683762,341881
Hilbert College,683112,341556
Educational Technical College (Edutec),682212,341106
Culinary Institute Lenotre,682153,341077
Hope International University,681856,340928
Lyon College,680216,340108
Hampden Sydney College,679908,339954
Alliant International University,679282,339641
St. Louis College Of Pharmacy,678296,339148
Macmurray College,677656,338828
Columbia International University,676941,338471
American Institute Of Beauty,676204,338102
Aveda Institute - South Florida,676153,338077
Philadelphia Technician Training Institute,675783,337892
Great Lakes Institute Of Technology,675003,337502
Parisian Beauty Academy Paul Mitchell Partner School,673639,336820
Ursuline College,673311,336656
Ohio Technical College,671034,335517
Goldfarb School Of Nursing At Barnes-Jewish College,669542,334771
College Of The Ouachitas,669324,334662
Stephens College,668976,334488
Pennco Tech,667974,333987
Minnesota State College Southeast,666447,333224
Salem Community College,665129,332565
Randolph College,664874,332437
Praxis Institute,663998,331999
Cheyney University Of Pennsylvania,663615,331808
Sterling College,662915,331458
Defiance College,662680,331340
Laguna College Of Art And Design,661479,330740
Laboure College,661421,330711
James Sprunt Community College,661318,330659
Gogebic Community College,661272,330636
Metropolitan Learning Institute,660220,330110
Northern State University,659777,329889
State University Of New York Downstate Medical Center,658028,329014
Naropa University,656811,328406
Northern Maine Community College,655429,327715
Rosemont College,653142,326571
Saint Joseph'S College,649094,324547
Paul Mitchell The School Salt Lake City,647756,323878
Traviss Technical College,644793,322397
Seminar L'Moros Bais Yaakov,644413,322207
Escuela Técnica De Electricidad,644003,322002
Northland Pioneer College,643137,321569
Dakota Wesleyan University,641844,320922
Dickinson State University,640093,320047
East-West University,638436,319218
Saint Mary Of The Woods College,637917,318959
Shawnee Community College,637619,318810
Marshalltown Community College,636628,318314
Northland College,636542,318271
Western Oklahoma State College,635791,317896
Coastline Community College,634209,317105
Sumner College,632989,316495
Cornish College Of The Arts,632813,316407
Aviation Institute Of Maintenance,631206,315603
Paul Mitchell The School Chicago,626698,313349
Peloton College,626237,313119
University Of Maine - Fort Kent,626037,313019
Pitzer College,625861,312931
National Aviation Academy - New England,625133,312567
George T. Baker Aviation Technical College,624978,312489
Eureka College,624909,312455
Concorde Career College,623986,311993
Florida Vocational Institute,623164,311582
Wells College,623035,311518
Concorde Career Institute,621612,310806
Pinellas Technical College - St. Petersburg Campus,621026,310513
Kenneth Shuler School Of Cosmetology,620853,310427
Spoon River College,617648,308824
Felbry College-School Of Nursing,617396,308698
Mitchell College,616528,308264
Halifax Community College,616040,308020
Haywood Community College,614386,307193
Kenneth Shuler School Of Cosmetology & Hair Design,611571,305786
Peirce College,611389,305695
University Of Maine - Presque Isle,610998,305499
Harris School Of Business,609828,304914
Mountainland Technical College,609482,304741
Columbia College,609412,304706
Centenary College Of Louisiana,608956,304478
Urban College Of Boston,608706,304353
Redlands Community College,608459,304230
Tennessee College Of Applied Technology - Murfreesboro,607231,303616
Nossi College Of Art,606694,303347
Life Pacific University,606084,303042
Southeastern Institute,605946,302973
Mount Carmel College Of Nursing,605611,302806
William T Mcfatter Technical College,603976,301988
Helms College,602995,301498
Associated Technical College,602768,301384
University Of Texas Southwestern Medical Center (The),602606,301303
Northwestern Connecticut Community College,602265,301133
Aveda Institute Denver,602184,301092
Canadian Valley Technology Center School District No. 6,601347,300674
Rosalind Franklin University Of Medicine And Science,600592,300296
New Professions Technical Institute,600447,300224
University Of Valley Forge,599907,299954
Georgia Institute Of Cosmetology,599634,299817
Aveda Institute Columbus,599625,299813
Feather River College,599153,299577
New York Automotive & Diesel Institute,598781,299391
Aveda Institute Tucson,598691,299346
Unitek College,598178,299089
Clarks Summit University,596633,298317
Ogden-Weber Technical College,596044,298022
Paul Mitchell The School Gastonia,595930,297965
Porter And Chester Institute Of Hamden,595156,297578
New Age Training,594376,297188
Southwestern Indian Polytechnic Institute,593278,296639
Bennington College,592763,296382
West Hills Community College,592666,296333
Laurus College,591076,295538
Osceola Technical College,590003,295002
Edward Via Virginia College Of Osteopathic Medicine,589803,294902
National Career College,589577,294789
Williamsburg Technical College,589306,294653
Mayland Community College,588968,294484
Lamar Community College,588420,294210
Auguste Escoffier School Of Culinary Arts,588381,294191
Branford Hall Career Institute,588348,294174
Wesleyan College,587801,293901
Southwestern Community College,587388,293694
Erskine College,587364,293682
Woodruff Medical Training And Testing,583499,291750
Orleans Technical College,582950,291475
Bethany College,582649,291325
Cosmetology And Spa Academy,582054,291027
Blake Austin College,581595,290798
Bryan College,579257,289629
Central Wyoming College,578937,289469
Jamestown Business College,577492,288746
Erie 1 Board Of Cooperative Educational Services,577270,288635
Glen Oaks Community College,576681,288341
Marian Health Careers Center,575634,287817
Penn Commercial Business/Technical School,575574,287787
Tennessee College Of Applied Technology - Newbern,571359,285680
University Of South Carolina - Lancaster,570863,285432
United States Merchant Marine Academy,569967,284984
Piedmont Community College,569586,284793
Nova College Of Puerto Rico,568986,284493
Lake Technical College,568563,284282
School Of Communication Arts Of North Carolina,568133,284067
Christ College Of Nursing And Health Sciences,567902,283951
Arkansas Northeastern College,566883,283442
West Shore Community College,564751,282376
Mayfield College,564629,282315
Pillar College,562480,281240
Calumet College Of Saint Joseph,562456,281228
Pacific College Of Oriental Medicine,561804,280902
Concorde Career Institute,561628,280814
Emma'S Beauty Academy,561434,280717
Mesabi Range College,561010,280505
Johnson College,559569,279785
Vogue College Of Cosmetology,558728,279364
Florida Education Institute,558247,279124
Nebraska Methodist College Of Nursing & Allied Health,557892,278946
Crescent City School Of Gaming & Bartending,557634,278817
Vet Tech Institute,556560,278280
York County Community College,556529,278265
Western Texas College,556115,278058
Harris School Of Business,554114,277057
Sierra Nevada College,553670,276835
Paul Mitchell The School Modesto,553609,276805
Newschool Of Architecture And Design,553090,276545
Moler Barber College,551182,275591
Windward Community College,551098,275549
Central Penn College,550693,275347
Paul Mitchell The School Fresno,550245,275123
Milan Institute,549033,274517
Divers Institute Of Technology,548712,274356
Conservatorio De Música De Puerto Rico,548486,274243
Tennessee College Of Applied Technology-Shelbyville,547306,273653
Lu Ross Academy,547287,273644
Scripps College,546083,273042
Myrangel Beauty Institute,546026,273013
Toni&Guy Hairdressing Academy,545266,272633
Northeastern Technical College,544363,272182
Salon Success Academy,543888,271944
Fortis Institute,542910,271455
University Of Arkansas Community College Rich Mountain,542149,271075
Illinois Eastern Community Colleges - Wabash Valley College,541848,270924
Marion Technical College,541724,270862
Academy For Nursing And Health Occupations,541389,270695
Artistic Nails & Beauty Academy,541307,270654
Tom P. Haney Technical Center,539960,269980
A. T. Still University Of Health Sciences,539820,269910
Dawn Career Institute,539645,269823
Pj'S College Of Cosmetology,539531,269766
Spartan College Of Aeronautics And Technology,539465,269733
Medical Training College,539363,269682
Bellus Academy,539166,269583
Federico Beauty Institute,538895,269448
Mediatech Institute,538457,269229
Orange Technical College - Mid Florida Campus,538345,269173
Talmudical Seminary Oholei Torah,538150,269075
Verve College,537056,268528
New York College Of Health Professions,537043,268522
Kauai Community College,535684,267842
Southwestern Christian University,534184,267092
American Academy Of Dramatic Arts,533811,266906
Baptist Health System School Of Health Professions,531618,265809
Bethel College,531372,265686
Kentucky Christian University,531102,265551
Martin Luther College,531043,265522
Triangle Tech,530918,265459
Aviation Institute Of Maintenance,530011,265006
Temple (The): A Paul Mitchell Partner School,528840,264420
Williams Baptist University,528721,264361
Mcdowell Technical Community College,527975,263988
Pinellas Technical College - Clearwater Campus,527113,263557
Tabor College,525581,262791
Kettering College,525294,262647
Academy Of Hair Design,524704,262352
Juilliard School (The),524199,262100
Tri-County Community College,522349,261175
State University Of New York Upstate Medical University,519926,259963
Erie Institute Of Technology,519694,259847
Northwest Educational Center,519264,259632
Pine Manor College,518912,259456
Pennsylvania Institute Of Technology,518726,259363
Pratt Community College,518364,259182
Ridge Technical College,516450,258225
Harvey Mudd College,516332,258166
"Standard Healthcare Services, College Of Nursing",516309,258155
Marion Military Institute,514237,257119
Paul D. Camp Community College,512617,256309
Aviation Institute Of Maintenance,512166,256083
Tennessee College Of Applied Technology-Jackson,510365,255183
Gordon Cooper Technology Center,509679,254840
Bacone College,509457,254729
Lancaster County Career And Technology Center,508099,254050
Fort Myers Technical College,507574,253787
Maine College Of Art,507454,253727
Quest College,506799,253400
Word Of Life Bible Institute,506756,253378
West Virginia Junior College,506663,253332
Casa Loma College,506509,253255
Omnitech Institute,506117,253059
Baylor College Of Medicine,506003,253002
Career Networks Institute,505137,252569
Garrett College,504992,252496
Central Oklahoma College,504384,252192
Brescia University,504094,252047
Salus University,503656,251828
Aviation Institute Of Maintenance,503111,251556
Spa Tech Institute,502984,251492
Vet Tech Institute Of Houston,502030,251015
Midwestern Career College,501791,250896
American National University,501696,250848
Lindsey Hopkins Technical College,501691,250846
Bastyr University,501592,250796
Mgh Institute Of Health Professions,500795,250398
Tennessee College Of Applied Technology - Crossville,499909,249955
Beauty Institute (The),497279,248640
Waldorf University,497220,248610
National Career Institute,497128,248564
Fisher College,496691,248346
Mycomputercareer.Com /Techskills,495594,247797
Cinta Aveda Institute,493584,246792
Lorenzo Walker Technical College,492820,246410
Ancilla Domini College,492118,246059
Cox College,492010,246005
Amg School Of License Practical Nursing,491430,245715
Crown College,491090,245545
Empire College,490975,245488
North Central Kansas Technical College,490545,245273
Southwestern College,490411,245206
Hollywood Institute,490367,245184
Teterboro School Of Aeronautics,490330,245165
Mount Marty College,489509,244755
Ozark Christian College,489464,244732
Truett Mcconnell University,489215,244608
Saint Thomas Aquinas College,489023,244512
Meridian College,488558,244279
White Mountains Community College,488503,244252
Frank Phillips College,488436,244218
Hobart Institute Of Welding Technology,485886,242943
Grace Christian University,485111,242556
Triangle Tech,484941,242471
Paul Mitchell The School Atlanta,484422,242211
Bryan College Of Health Sciences,484417,242209
Nicolet Area Technical College,484116,242058
Texas College Of Cosmetology,483500,241750
Hohokus School Of Trade And Technical Sciences,483327,241664
College Of The Florida Keys (The),481856,240928
Pine Technical And Community College,481263,240632
Toccoa Falls College,481239,240620
Tennessee College Of Applied Technology-Livingston,479769,239885
Advanced Technology Institute,479439,239720
Northwest Kansas Technical College,479285,239643
Sunstate Academy,478081,239041
International Salon And Spa Academy,475449,237725
Southeastern Institute,473641,236821
Bethany Lutheran College,471985,235993
Hair Expressions Academy,470791,235396
Bel - Rea Institute Of Animal Technology,470581,235291
West Virginia Junior College,470415,235208
Great Basin College,470059,235030
Holy Cross College,469591,234796
Colby Community College,469448,234724
Ultimate Medical Academy,469150,234575
Midwestern Baptist Theological Seminary,466997,233499
Metro Technology Centers School District #22,466807,233404
Oakland City University,465821,232911
Cybertex Institute Of Technology,465548,232774
Central Christian College Of Kansas,464984,232492
Golden Gate University,464148,232074
Saint Luke'S College Of Health Sciences,462823,231412
Paul Mitchell The School Las Vegas,462659,231330
Aveda Institute Portland,461109,230555
Southeastern Illinois College,460547,230274
Rabbinical College Of Ohr Shimon Yisroel,460264,230132
Mesivta Torah Vodaath Rabbinical Seminary,459637,229819
York College,459315,229658
Aveda Institute Las Vegas,458983,229492
Pittsburgh Institute Of Aeronautics,458946,229473
Advance Beauty College,458495,229248
University Of South Carolina - Union,457913,228957
New York School For Medical & Dental Assistants,457757,228879
Northeast Technology Center,456375,228188
Pacific Northwest College Of Art,456256,228128
Pci Academy,454747,227374
Presentation College,454681,227341
Vermilion Community College,454539,227270
Valley City State University,452941,226471
Athena Career Academy,451504,225752
Brewton Parker College,449184,224592
J.F. Ingram State Technical College,448264,224132
Paul Mitchell The School Richland,447875,223938
Finlandia University,447690,223845
Central Coast College,447424,223712
Michigan Barber School,447200,223600
Robert Morgan Educational Center And Technical College,447181,223591
George Stone Technical College,446933,223467
Paul Mitchell The School Sherman Oaks,446039,223020
Helene Fuld College Of Nursing,445514,222757
Walnut Hill College,445337,222669
Florida College,445256,222628
Aveda Institute Minneapolis,445074,222537
Clatsop Community College,444841,222421
Dabney S Lancaster Community College,444563,222282
Hesston College,444466,222233
Provo College,443357,221679
Fort Pierce Beauty Academy,443123,221562
Compu-Med Vocational Careers,442546,221273
Clarkson College,441901,220951
Moore College Of Art And Design,441674,220837
Manhattan School Of Music,441481,220741
National Tractor Trailer School,439995,219998
Lakes Region Community College,439512,219756
Raphael'S School Of Beauty Culture,438150,219075
Northwest Technical Institute,437217,218609
Tricoci University Of Beauty Culture,436904,218452
Jolie Health And Beauty Academy,435974,217987
University Of The Southwest,435854,217927
Tricoci University Of Beauty Culture,435780,217890
Reid State Technical College,435328,217664
Bayamon Community College,435133,217567
Salon Success Academy,434633,217317
Eti School Of Skilled Trades,434609,217305
Illinois Eastern Community Colleges - Lincoln Trail College,434306,217153
Multnomah University,433018,216509
City University Of Seattle,432868,216434
Chester Career College,431590,215795
Career Academy Of Hair Design,429737,214869
Gould'S Academy,429649,214825
Bennett Career Institute,429212,214606
Ohio Valley College Of Technology,428200,214100
Wellspring School Of Allied Health,428142,214071
Ntma Training Centers Of Southern California,427969,213985
Modern Hairstyling Institute,426601,213301
Paul Mitchell The School Springfield,426043,213022
Suncoast Technical College,425821,212911
Northpoint Bible College,423110,211555
Western Suffolk Boces,422592,211296
Northwest Iowa Community College,422535,211268
Walsh College Of Accountancy & Business Administration,422403,211202
Des Moines University - Osteopathic Medical Center,422290,211145
Valley Grande Institute For Academic Studies,422034,211017
Trinity Baptist College,421907,210954
San Diego Christian College,421905,210953
Oliver Finley Academy Of Cosmetology,420835,210418
Career Technical Institute,420528,210264
Eastern Wyoming College,420524,210262
Gene Juarez Beauty Schools,420399,210200
Beal College,419913,209957
Scioto County Career Technical Center,419892,209946
Jfk Medical Center Muhlenberg Harold B. And Dorothy A. Snyder Schools,417854,208927
Albany Schoharie Schenectady Saratoga Boces Practical Nursing Program,416996,208498
Allen County Community College,416499,208250
New Mexico Military Institute,415633,207817
Paul Mitchell The School - Esani,415434,207717
Elaine Sterling Institute(The),414178,207089
Mycomputercareer.Com /Techskills,414059,207030
Denmark Technical College,412522,206261
Boca Beauty Academy,412160,206080
Platt College,412152,206076
Penrose Academy,412035,206018
Bridgerland Technical College,411631,205816
Tennessee College Of Applied Technology - Harriman,411299,205650
New England College,411295,205648
Morgan Community College,411258,205629
Maranatha Baptist University,410308,205154
Kansas City University Of Medicine And Biosciences,409399,204700
Pro Way Hair School,408553,204277
Maharishi International University,408145,204073
Piedmont International University,407862,203931
Bene'S Career Academy,406818,203409
Ohio Valley University,405760,202880
Beacon College,405430,202715
Thomas M. Cooley Law School,405235,202618
Northwest Indian College,403967,201984
Merkaz Bnos,403827,201914
Covenant School Of Nursing And Allied Health,403823,201912
Withlacoochee Technical College,403755,201878
Northcoast Medical Training Academy,402690,201345
Paul Mitchell The School Rexburg,401899,200950
Aviation Institute Of Maintenance,401732,200866
Southern California University Of Health Sciences,401546,200773
Aviation Institute Of Maintenance,400623,200312
Robert Fiance Beauty Schools,400511,200256
Luna Community College,399419,199710
St. John'S College,398355,199178
Humphreys University,398142,199071
Colorado Northwestern Community College,397997,198999
International Training Careers,397293,198647
King'S College (The),396742,198371
Tricoci University Of Beauty Culture,396317,198159
Martin University,395736,197868
Eagle Gate College,395657,197829
Tennessee College Of Applied Technology-Paris,394967,197484
Trinity College Of Puerto Rico,394678,197339
Triangle Tech,394320,197160
North-West College,393842,196921
Okaloosa Technical College And Choice High School,393330,196665
Veeb Nassau County School Of Practical Nursing,391740,195870
Arlington Career Institute,391614,195807
Douglas Education Center,391261,195631
Avenue Five Institute,391249,195625
First Institute,390859,195430
Florida Barber Academy,390387,195194
Midwest Institute,389911,194956
Northwestern Health Sciences University,388538,194269
Hacienda La Puente Adult Education,388304,194152
Yeshiva Of Nitra Rabbinical College,386639,193320
International School Of Beauty,386363,193182
Medical College Of Wisconsin,386216,193108
Sinte Gleska University,385959,192980
Valley Forge Military College,385652,192826
Cleary University,384753,192377
American University Of Health Sciences,384752,192376
River Valley Community College,384684,192342
Huntington Junior College Of Business,384451,192226
Taylor Andrews Academy Of Hair Design,383197,191599
Montgomery Community College,382976,191488
David Pressley Professional School Of Cosmetology,382850,191425
Saber College,382767,191384
Maccormac College,382008,191004
Southwest School Of Business & Technical Careers,381421,190711
"Chattanooga College - Medical, Dental And Technical Careers",381353,190677
Ocean County Vocational - Technical Schools,380824,190412
Hamilton Technical College,380408,190204
Joseph'S College Cosmetology,379798,189899
Tdds Technical Institute,379013,189507
"Rudy & Kelly Academy, A Paul Mitchell Partner School",378939,189470
Florida Panhandle Technical College,378062,189031
Saint John'S College,377298,188649
University Of Providence,376995,188498
Academy Of Hair Design,375960,187980
Taylortown School Of Beauty,375859,187930
Minnesota School Of Cosmetology,375857,187929
New York Medical Career Training Center,375729,187865
Columbia Gorge Community College,375638,187819
Thomas University,375530,187765
Montserrat College Of Art,375198,187599
Sitting Bull College,375048,187524
Futura Career Institute,374889,187445
New York Medical College,374257,187129
Tricoci University Of Beauty Culture,373874,186937
Aveda Arts & Sciences Institute Corpus Christi,373504,186752
Wade Gordon Hairdressing Academy,373069,186535
University Of Alaska Southeast,372939,186470
Phagans' School Of Hair Design,372489,186245
House Of Heavilin Beauty College,372084,186042
Capital Area Career Center,371962,185981
Manhattan Area Technical College,369841,184921
Central Pennsylvania Institute Of Science And Technology,369675,184838
Judson College,369009,184505
Paul Mitchell The School St Louis,368274,184137
New England Conservatory Of Music,367317,183659
Elmira Business Institute,367057,183529
Dallas Nursing Institute,366585,183293
South Coast College,366087,183044
Tennessee College Of Applied Technology-Jacksboro,365951,182976
Charles A. Jones Career And Education Center,365709,182855
Pittsburgh Career Institute,364095,182048
Capri Cosmetology Learning Center,363273,181637
Empire Beauty School,363192,181596
Paul Mitchell The School Murfreesboro,363105,181553
Wayne - Finger Lakes Boces,362846,181423
John Amico School Of Hair Design,362538,181269
Brown Aveda Institute,362519,181260
Miami Lakes Educational Center And Technical College,362478,181239
Mid-East Career And Technology Centers - Adult Education,362414,181207
Toni & Guy Hairdressing Academy,362087,181044
Jean Madeline Aveda Institute,361534,180767
Raphael'S School Of Beauty Culture,360731,180366
Baptist Bible College,360668,180334
Charles R. Drew University Of Medicine And Science,360477,180239
Caribbean Aviation Training Institute,360410,180205
Laurel Business Institute,360370,180185
Paul Mitchell The School Knoxville,358657,179329
Cape Coral Technical College,358183,179092
Virginia University Of Lynchburg,357917,178959
"Calc, Institute Of Technology",356366,178183
Trend Barber College,356178,178089
Andrew College,355871,177936
Eti Technical College Of Niles,355710,177855
Paul Mitchell The School East Bay,355653,177827
Colegio Mayor De Tecnologia,355224,177612
Paul Mitchell The School - Pasadena,354896,177448
Thomas Aquinas College,354873,177437
New York Conservatory For Dramatic Arts (The),354280,177140
Alamo City Barber College,354063,177032
Great Plains Technology Center School District Number 9,353682,176841
Roanoke Chowan Community College,353481,176741
Paul Mitchell The School Memphis,353187,176594
Tricoci University Of Beauty Culture,352709,176355
California Institute Of Integral Studies,352356,176178
Palm Beach Academy Of Health & Beauty,352289,176145
Soka University Of America,351126,175563
Pinnacle Career Institute,349930,174965
Palo Verde College,349166,174583
Lake Tahoe Community College,348926,174463
Bryn Athyn College Of The New Church,348922,174461
Beauty Academy Of South Florida,348763,174382
Holy Family College,348751,174376
Michigan College Of Beauty-Troy,348449,174225
"Rivertown School Of Beauty, Barber, Skin Care And Nails",348039,174020
Yeshiva Toras Chaim,347751,173876
Celebrity School Of Beauty,347719,173860
G Skin & Beauty Institute,347284,173642
Southeastern Baptist Theological Seminary,347269,173635
Rabbinical College Of America,347256,173628
Machzikei Hadath Rabbinical College,346953,173477
Xenon International Academy Ii,346579,173290
Riverside College Of Health Careers,346191,173096
Hair Academy Ii,345610,172805
Upmc Shadyside,345358,172679
John Paul The Great Catholic University,343805,171903
Institute Of Beauty And Wellness (The),343456,171728
Institute Of American Indian & Alaska Native Culture & Artsdevelopment,342519,171260
Institute Of Culinary Education,341532,170766
Washington County Community College,341449,170725
Pacific Oaks College,340238,170119
Pima Medical Institute,340233,170117
United Tribes Technical College,339952,169976
Southern California Institute Of Architecture (The),339620,169810
Southwest Institute Of Healing Arts,339100,169550
Williston State College,338809,169405
Paul Mitchell The School Colorado Springs,338720,169360
Eastern Shore Community College,338336,169168
California Institute Of Arts & Technology,338044,169022
Taylor College,337759,168880
Atlanta Institute Of Music And Media,337362,168681
Cleveland Barber College,337078,168539
Lebanon County Career And Technology Center,336929,168465
Icahn School Of Medicine At Mount Sinai,336074,168037
Kenny'S Academy Of Barbering,335777,167889
Advanced Barber College & Hair Design,335473,167737
Wilkes Barre Area Career And Technical Center Practical Nursing Prgm,335061,167531
Lassen College,335004,167502
Gwinnett College,334880,167440
Cottey College,334857,167429
Bella Capelli Academy A Paul Mitchell Partner School,334723,167362
Kehilath Yakov Rabbinical Seminary,334422,167211
Bryan University,333687,166844
Special School District Of St. Louis County,333269,166635
Moore Career College,332337,166169
Lincoln Christian University,332245,166123
Great Oaks Career Campuses-Scarlet Oaks,332099,166050
Medical Career Institute,332030,166015
American Academy Of Art,331941,165971
"Christine Valmy International School Foresthetics, Skin Care & Make-Up",331195,165598
Healthcare Career College,331157,165579
School Of Automotive Machinists & Technology,330911,165456
Eastern Virginia Medical School,329653,164827
California Healing Arts College,329263,164632
Valley College,328669,164335
Leon'S Beauty School,328351,164176
Mayo Clinic College Of Medicine And Science,328294,164147
Genesis Career College,328276,164138
Award Beauty School,327046,163523
Yeshiva Gedolah Imrei Yosef D'Spinka,326856,163428
Central California School Of Continuing Education,326010,163005
Cortiva Institute,325544,162772
Aveda Arts & Sciences Institute Baton Rouge,325463,162732
American College For Medical Careers,323870,161935
Tricoci University Of Beauty Culture,323319,161660
Tri-State Cosmetology Institute,322549,161275
Tennessee College Of Applied Technology-Mckenzie,321987,160994
Sierra College Of Beauty,321871,160936
Z Hair Academy,321716,160858
Winston - Salem Barber School,320870,160435
Goddard College,320334,160167
Fred K. Marchman Technical College,320269,160135
Brittany Beauty School -,320102,160051
Angeles Institute,319593,159797
Healthcare Training Institute,319461,159731
Baldwin Park Adult School,319015,159508
Center For Allied Health Education,318982,159491
Paul Mitchell The School Overland Park,318952,159476
Tennessee College Of Applied Technology-Hartsville,318610,159305
